,news_media,positive,neutral,negative,compound,create_date,tweets_ago
22,BBC,0.0,1.0,0.0,0.0,2018-07-21 11:16:04+00:00,-22
23,BBC,0.27,0.73,0.0,0.5719,2018-07-21 10:10:07+00:00,-23
24,BBC,0.314,0.686,0.0,0.7506,2018-07-21 09:03:03+00:00,-24
25,BBC,0.167,0.833,0.0,0.4939,2018-07-21 09:02:04+00:00,-25
26,BBC,0.0,1.0,0.0,0.0,2018-07-21 08:32:20+00:00,-26
27,BBC,0.0,0.794,0.206,-0.5267,2018-07-21 08:03:05+00:00,-27
28,BBC,0.0,1.0,0.0,0.0,2018-07-21 07:03:03+00:00,-28
29,BBC,0.194,0.543,0.264,-0.4215,2018-07-20 19:02:04+00:00,-29
30,BBC,0.0,1.0,0.0,0.0,2018-07-20 18:03:08+00:00,-30
31,BBC,0.0,1.0,0.0,0.0,2018-07-20 17:02:06+00:00,-31
32,BBC,0.0,1.0,0.0,0.0,2018-07-20 15:59:00+00:00,-32
33,BBC,0.0,0.853,0.147,-0.4767,2018-07-20 14:56:18+00:00,-33
34,BBC,0.0,0.808,0.192,-0.6131,2018-07-20 14:53:06+00:00,-34
35,BBC,0.0,0.919,0.081,-0.296,2018-07-20 14:52:46+00:00,-35
36,BBC,0.0,1.0,0.0,0.0,2018-07-20 14:31:04+00:00,-36
37,BBC,0.0,1.0,0.0,0.0,2018-07-20 13:35:41+00:00,-37
38,BBC,0.086,0.914,0.0,0.2235,2018-07-20 13:33:22+00:00,-38
39,BBC,0.361,0.639,0.0,0.7845,2018-07-20 13:03:04+00:00,-39
40,BBC,0.0,1.0,0.0,0.0,2018-07-20 13:01:24+00:00,-40
41,BBC,0.0,0.64,0.36,-0.5216,2018-07-20 12:02:04+00:00,-41
42,BBC,0.263,0.737,0.0,0.6908,2018-07-20 11:21:07+00:00,-42
43,BBC,0.0,1.0,0.0,0.0,2018-07-20 10:48:43+00:00,-43
44,BBC,0.163,0.837,0.0,0.5719,2018-07-20 10:44:50+00:00,-44
45,BBC,0.0,1.0,0.0,0.0,2018-07-20 09:11:11+00:00,-45
46,BBC,0.0,1.0,0.0,0.0,2018-07-20 08:01:07+00:00,-46
47,BBC,0.102,0.898,0.0,0.3612,2018-07-20 07:25:07+00:00,-47
48,BBC,0.173,0.827,0.0,0.3182,2018-07-20 07:02:03+00:00,-48
49,BBC,0.0,0.857,0.143,-0.25,2018-07-19 19:01:04+00:00,-49
50,BBC,0.0,1.0,0.0,0.0,2018-07-19 18:57:05+00:00,-50
51,BBC,0.139,0.861,0.0,0.4404,2018-07-19 18:02:42+00:00,-51
52,BBC,0.281,0.719,0.0,0.5994,2018-07-19 17:29:06+00:00,-52
53,BBC,0.277,0.723,0.0,0.7845,2018-07-19 17:02:04+00:00,-53
54,BBC,0.0,1.0,0.0,0.0,2018-07-19 15:57:06+00:00,-54
55,BBC,0.313,0.687,0.0,0.75,2018-07-19 15:11:33+00:00,-55
56,BBC,0.0,0.872,0.128,-0.4199,2018-07-19 14:51:09+00:00,-56
57,BBC,0.095,0.746,0.159,-0.3182,2018-07-19 14:29:39+00:00,-57
58,BBC,0.0,1.0,0.0,0.0,2018-07-19 14:01:05+00:00,-58
59,BBC,0.154,0.846,0.0,0.4767,2018-07-19 13:21:41+00:00,-59
60,BBC,0.122,0.878,0.0,0.3612,2018-07-19 13:07:03+00:00,-60
61,BBC,0.159,0.841,0.0,0.5255,2018-07-19 13:01:15+00:00,-61
62,BBC,0.207,0.707,0.087,0.4939,2018-07-19 12:51:41+00:00,-62
63,BBC,0.172,0.828,0.0,0.4019,2018-07-19 12:00:29+00:00,-63
64,BBC,0.0,0.867,0.133,-0.3818,2018-07-19 11:01:03+00:00,-64
65,BBC,0.0,1.0,0.0,0.0,2018-07-19 10:31:03+00:00,-65
66,BBC,0.0,1.0,0.0,0.0,2018-07-19 09:34:09+00:00,-66
67,BBC,0.0,1.0,0.0,0.0,2018-07-19 08:52:10+00:00,-67
68,BBC,0.122,0.878,0.0,0.4939,2018-07-19 08:01:00+00:00,-68
69,BBC,0.057,0.83,0.114,-0.3182,2018-07-19 07:25:02+00:00,-69
70,BBC,0.268,0.732,0.0,0.5093,2018-07-19 07:00:11+00:00,-70
71,BBC,0.0,0.745,0.255,-0.7579,2018-07-18 19:56:03+00:00,-71
72,BBC,0.0,1.0,0.0,0.0,2018-07-18 18:02:07+00:00,-72
73,BBC,0.0,1.0,0.0,0.0,2018-07-18 17:02:01+00:00,-73
74,BBC,0.0,1.0,0.0,0.0,2018-07-18 16:00:26+00:00,-74
75,BBC,0.137,0.812,0.051,0.4588,2018-07-18 14:37:12+00:00,-75
76,BBC,0.312,0.602,0.086,0.7906,2018-07-18 14:00:12+00:00,-76
77,BBC,0.127,0.873,0.0,0.4404,2018-07-18 13:03:04+00:00,-77
78,BBC,0.318,0.682,0.0,0.7906,2018-07-18 12:03:02+00:00,-78
79,BBC,0.343,0.6,0.057,0.8625,2018-07-18 11:00:16+00:00,-79
80,BBC,0.0,1.0,0.0,0.0,2018-07-18 09:19:41+00:00,-80
81,BBC,0.179,0.821,0.0,0.34,2018-07-18 08:00:19+00:00,-81
82,BBC,0.0,0.848,0.152,-0.5267,2018-07-18 07:26:04+00:00,-82
83,BBC,0.216,0.784,0.0,0.296,2018-07-18 07:01:06+00:00,-83
84,BBC,0.0,0.914,0.086,-0.128,2018-07-17 19:03:04+00:00,-84
85,BBC,0.0,1.0,0.0,0.0,2018-07-17 18:03:06+00:00,-85
86,BBC,0.0,1.0,0.0,0.0,2018-07-17 17:58:03+00:00,-86
87,BBC,0.0,1.0,0.0,0.0,2018-07-17 16:01:00+00:00,-87
88,BBC,0.0,1.0,0.0,0.0,2018-07-17 14:46:49+00:00,-88
89,BBC,0.0,0.816,0.184,-0.2023,2018-07-17 14:04:00+00:00,-89
90,BBC,0.072,0.821,0.106,-0.1779,2018-07-17 13:03:05+00:00,-90
91,BBC,0.187,0.813,0.0,0.3182,2018-07-17 11:57:05+00:00,-91
92,BBC,0.0,1.0,0.0,0.0,2018-07-17 11:00:21+00:00,-92
93,BBC,0.264,0.736,0.0,0.7845,2018-07-17 10:39:27+00:00,-93
94,BBC,0.124,0.876,0.0,0.4019,2018-07-17 10:38:04+00:00,-94
95,BBC,0.0,1.0,0.0,0.0,2018-07-17 09:26:12+00:00,-95
96,BBC,0.0,1.0,0.0,0.0,2018-07-17 08:00:16+00:00,-96
97,BBC,0.0,0.816,0.184,-0.4019,2018-07-17 07:27:02+00:00,-97
98,BBC,0.213,0.648,0.139,0.2023,2018-07-17 07:00:08+00:00,-98
99,BBC,0.245,0.755,0.0,0.6361,2018-07-16 18:01:05+00:00,-99
0,CBS,0.073,0.927,0.0,0.128,2018-07-22 01:56:13+00:00,0
1,CBS,0.0,0.891,0.109,-0.296,2018-07-21 00:55:28+00:00,-1
2,CBS,0.0,0.891,0.109,-0.296,2018-07-21 00:19:12+00:00,-2
3,CBS,0.0,0.736,0.264,-0.7964,2018-07-21 00:10:00+00:00,-3
4,CBS,0.0,0.82,0.18,-0.6597,2018-07-20 23:44:54+00:00,-4
5,CBS,0.095,0.905,0.0,0.3182,2018-07-20 22:29:36+00:00,-5
6,CBS,0.0,1.0,0.0,0.0,2018-07-20 21:39:09+00:00,-6
7,CBS,0.0,1.0,0.0,0.0,2018-07-20 15:08:23+00:00,-7
8,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:55:25+00:00,-8
9,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-9
10,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-10
11,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-11
12,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-12
13,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-13
14,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-14
15,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-15
16,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-16
17,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-17
18,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-18
19,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-19
20,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:27+00:00,-20
21,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:27+00:00,-21
